question,answer
"Python деген не?","Python — бағдарламалау тілі. Ол қарапайым синтаксисімен ерекшеленеді және есептерді шешу, веб-сайт жасау, деректерді өңдеу және жасанды интеллект салаларында қолданылады."
"Python-да экранға мәтінді қалай шығарады?","print() функциясы арқылы."
"Python-да айнымалы деген не?","Айнымалы — белгілі бір мәнді сақтайтын атау."
"Алгоритм деген не?","Алгоритм — белгілі бір есепті шешуге арналған реттелген әрекеттер жиынтығы."
"Цикл деген не?","Цикл — белгілі бір командаларды бірнеше рет қайталауға мүмкіндік беретін құрылым."
"if операторы не үшін қолданылады?","if операторы шартты тексеру және шартқа байланысты әрекет орындау үшін қолданылады."
"Функция деген не?","Функция — белгілі бір әрекетті орындайтын және қажет кезде қайта қолданылатын код бөлігі."
"Массив деген не?","Массив — бірнеше мәнді бір құрылымда сақтауға мүмкіндік беретін деректер құрылымы."
"HTML не үшін қолданылады?","HTML веб-беттің құрылымын жасау үшін қолданылады."
"CSS не үшін қолданылады?","CSS веб-беттің сыртқы көрінісін безендіру үшін қолданылады."
